"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.000000000E0,9.506997066E-2,-1.333246445E0,1.707721431E0
9.982000003E-3,4.060073757E-1,-1.305438842E0,3.746967126E0
1.996300000E-2,1.499658970E-1,-1.178655419E0,4.674698056E0
2.994500000E-2,-3.959727131E-1,-9.953314671E-1,5.635761039E0
3.992700000E-2,-4.272923370E-1,-8.121826395E-1,7.121751959E0
4.990900000E-2,3.838996746E-2,-7.625921112E-1,8.545535522E0
5.989100000E-2,5.103377462E-1,-7.660215032E-1,9.471653205E0
6.987300000E-2,4.170642778E-1,-6.559231102E-1,9.873620045E0
7.985500000E-2,-8.334661391E-2,-5.871844125E-1,9.618480883E0
8.983700000E-2,-3.994743182E-1,-6.604242969E-1,8.936751087E0
9.981900000E-2,-2.390828539E-1,-8.072209847E-1,8.455948577E0
1.098010000E-1,2.653587062E-1,-1.061865180E0,8.042835190E0
1.197820000E-1,5.239844166E-1,-1.366338762E0,7.074615215E0
1.297640000E-1,1.826925437E-1,-1.531542192E0,5.524789656E0
1.397460000E-1,-3.252793277E-1,-1.547539005E0,3.553145961E0
1.497280000E-1,-3.247534072E-1,-1.607048604E0,1.537553422E0
1.597100000E-1,7.036299032E-2,-1.640631941E0,1.981878662E-1
1.696920000E-1,2.643580100E-1,-1.582438843E0,-7.461953491E-1
1.796740000E-1,1.192594907E-2,-1.404380016E0,-2.453493442E0
1.896560000E-1,-2.272897874E-1,-1.099575701E0,-4.824458697E0
1.996380000E-1,-1.279044072E-1,-7.649960478E-1,-6.323397108E0
2.096200000E-1,3.550564789E-2,-4.930732573E-1,-6.780579790E0
2.196010000E-1,-5.179933686E-2,-2.205736024E-1,-7.264471968E0
2.295830000E-1,-1.085667696E-1,4.159610543E-2,-8.292783194E0
2.395650000E-1,-3.199069242E-2,2.311995282E-1,-9.412954177E0
2.495470000E-1,6.276538325E-3,3.411856546E-1,-9.603124341E0
2.595290000E-1,-7.045807153E-2,3.455289664E-1,-8.674757234E0
2.695110000E-1,-7.830179156E-2,2.627184691E-1,-7.923371896E0
2.794930000E-1,-2.359321823E-2,1.408222952E-1,-7.917341663E0
