"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.000000000E0,-2.291759530E-2,-1.465669507E0,3.391685625E0
9.982999996E-3,2.196533055E-1,-1.611720091E0,2.088312020E0
1.996600000E-2,1.047227187E-1,-1.591673643E0,6.464213848E-1
2.994900000E-2,-1.144862532E-1,-1.445650249E0,-1.157048787E0
3.993200000E-2,-1.684541899E-1,-1.256929025E0,-3.098362976E0
4.991600000E-2,-1.840654152E-2,-1.028286886E0,-4.261007549E0
5.989900000E-2,4.389479209E-2,-7.794694414E-1,-4.853401245E0
6.988200000E-2,-6.181303628E-2,-4.995103108E-1,-6.013239155E0
7.986500000E-2,-1.093434443E-1,-1.863222577E-1,-7.465202204E0
8.984800000E-2,-2.730226243E-2,7.793468691E-2,-8.210815755E0
9.983100000E-2,1.256100694E-4,2.632254957E-1,-8.273049425E0
1.098140000E-1,-5.785776491E-2,3.758068357E-1,-8.067963014E0
1.197970000E-1,-4.304510943E-2,3.952681236E-1,-8.010348644E0
1.297800000E-1,-1.263114612E-2,3.829475286E-1,-8.196415232E0
1.397630000E-1,-4.674800492E-2,2.812392323E-1,-7.703749892E0
1.497460000E-1,-6.311333827E-2,8.742186740E-2,-6.215130063E0
1.597290000E-1,1.265585060E-2,-1.192444615E-1,-4.892722601E0
1.697120000E-1,1.224217837E-2,-3.012935740E-1,-4.081323781E0
1.796950000E-1,-1.063181224E-1,-4.490334177E-1,-2.985629243E0
1.896790000E-1,-1.355960539E-1,-6.117276616E-1,-1.349723899E0
1.996620000E-1,4.340706121E-2,-7.684805498E-1,4.955187821E-1
2.096450000E-1,1.530879264E-1,-7.930868027E-1,2.167430695E0
2.196280000E-1,4.404035121E-2,-7.473633304E-1,3.335664037E0
2.296110000E-1,-1.659820602E-1,-6.916598305E-1,4.371763753E0
2.395940000E-1,-1.616766274E-1,-6.268720964E-1,5.668517725E0
2.495770000E-1,8.932460619E-2,-5.730604631E-1,6.937914914E0
2.595600000E-1,2.487453413E-1,-5.496251151E-1,7.725013291E0
2.695430000E-1,1.756404179E-1,-5.234784132E-1,8.086472960E0
2.795260000E-1,-6.148995934E-2,-4.755461553E-1,8.149767315E0
2.895090000E-1,-1.705143284E-1,-5.389954618E-1,7.945819942E0
2.994920000E-1,-4.748450741E-3,-6.810254994E-1,7.629224204E0
3.094750000E-1,1.838161959E-1,-8.417654577E-1,7.251647270E0
3.194574167E-1,2.192062859E-1,-1.044155718E0,6.431303380E0
3.294414167E-1,2.679857505E-2,-1.193331930E0,5.124837767E0
3.394244167E-1,-1.723032841E-1,-1.262704174E0,3.688799025E0
3.494074167E-1,-1.002520838E-1,-1.340255941E0,2.303345715E0
3.593904167E-1,6.537169741E-2,-1.401959854E0,1.022668077E0
3.693734167E-1,9.142010210E-2,-1.361621521E0,-2.246932948E-1
3.793564167E-1,-3.108494501E-2,-1.215519775E0,-1.738581866E0
3.893394167E-1,-1.283373113E-1,-1.005855432E0,-3.473014548E0
3.993224167E-1,-6.004118375E-2,-7.590771306E-1,-4.720038536E0
4.093054167E-1,2.567347940E-3,-5.185840014E-1,-5.366852269E0
4.192884167E-1,-4.275166600E-2,-2.727715869E-1,-6.170622811E0
4.292714167E-1,-9.259340988E-2,-3.029281631E-2,-7.185087245E0
4.392544167E-1,-5.591024010E-2,1.793246754E-1,-7.875570323E0
4.492384167E-1,-2.605138769E-2,3.157325421E-1,-8.020507012E0
4.592214167E-1,-3.651248361E-2,3.707818117E-1,-7.682163141E0
4.692044167E-1,-3.334973152E-2,3.691380863E-1,-7.352259141E0
4.791874167E-1,-2.686565358E-2,3.189916340E-1,-7.243528411E0
4.891704167E-1,-4.340386352E-2,2.131239939E-1,-6.717712866E0
4.991534167E-1,-4.587920004E-2,2.291085273E-2,-5.448554828E0
5.091364167E-1,2.246597098E-2,-1.644330597E-1,-4.072076409E0
5.191194167E-1,5.132614637E-2,-3.150944647E-1,-2.965831740E0
5.291024167E-1,-2.914714577E-2,-4.447681662E-1,-1.865257700E0
5.390854167E-1,-1.007894246E-1,-5.440060870E-1,-4.970542610E-1
5.490684167E-1,-2.246131148E-2,-6.435258436E-1,1.164271853E0
5.590524167E-1,1.028375581E-1,-6.828258571E-1,2.776188995E0
5.690354167E-1,9.942870447E-2,-6.461790177E-1,3.967883704E0
5.790184167E-1,-6.565622840E-2,-5.599042279E-1,4.912615998E0
5.890014167E-1,-1.369008601E-1,-5.064326102E-1,5.856627916E0
5.989844167E-1,-3.352771528E-2,-4.691577798E-1,6.809798911E0
6.089674167E-1,1.450008435E-1,-4.711595741E-1,7.490800145E0
6.189504167E-1,1.745734473E-1,-4.821181333E-1,7.782473879E0
6.289334167E-1,2.659282615E-2,-4.983739775E-1,7.729033837E0
6.389164167E-1,-1.094660349E-1,-5.680654791E-1,7.343663149E0
6.488994167E-1,-8.113897936E-2,-6.847642091E-1,6.838216964E0
6.588824167E-1,7.930838060E-2,-8.461473611E-1,6.241173561E0
6.688664167E-1,1.743040916E-1,-1.012522866E0,5.416148390E0
6.788494167E-1,9.652050041E-2,-1.123843035E0,4.234598599E0
6.888324167E-1,-8.294391434E-2,-1.183322374E0,2.806291630E0
6.988154167E-1,-1.019432082E-1,-1.212086143E0,1.353075523E0
7.087984167E-1,6.501235859E-3,-1.207314231E0,8.218612432E-2
7.187814167E-1,8.126425596E-2,-1.129168240E0,-1.045319606E0
7.287644167E-1,-5.107172853E-3,-9.720725589E-1,-2.370431989E0
7.387474167E-1,-7.979337059E-2,-7.648938677E-1,-3.869027753E0
7.487304167E-1,-8.592857075E-2,-5.246180356E-1,-5.037437096E0
