"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.000000000E0,4.258883474E-2,-9.744598308E-1,5.109294698E0
9.982999996E-3,-8.515756968E-3,-1.086075869E0,3.878270447E0
1.996500000E-2,-1.391518554E-2,-1.152020621E0,2.606823809E0
2.994700000E-2,-5.434767678E-3,-1.172057713E0,1.271147845E0
3.993000000E-2,-1.179599013E-2,-1.143517892E0,-1.529274935E-1
4.991199999E-2,-1.082586396E-2,-1.032318614E0,-1.520108255E0
5.989500000E-2,-4.484279933E-2,-8.610029434E-1,-2.832604685E0
6.987699999E-2,-2.981427196E-2,-6.725780270E-1,-4.083270319E0
7.985900000E-2,-3.124135803E-2,-4.319596211E-1,-5.069262906E0
8.984199999E-2,-3.772429393E-2,-2.104261617E-1,-5.897996382E0
9.982400000E-2,-4.763364339E-2,-9.891076908E-3,-6.703350935E0
1.098060000E-1,-4.868747153E-2,1.605111129E-1,-7.230649334E0
1.197890000E-1,-3.256725986E-2,2.536769926E-1,-7.429970391E0
1.297705833E-1,-4.156727135E-2,3.081401519E-1,-7.445761966E0
1.397525833E-1,-3.630402352E-2,2.970425020E-1,-7.242964740E0
1.497355833E-1,-4.789128176E-2,2.357138345E-1,-6.843518050E0
1.597175833E-1,-5.722550731E-2,1.217481662E-1,-6.231982908E0
1.696995833E-1,-4.098799501E-2,-3.247265831E-2,-5.318408672E0
1.796825833E-1,-3.522602993E-2,-2.044879487E-1,-4.211628397E0
1.896645833E-1,-1.870729853E-2,-3.602323383E-1,-3.075696829E0
1.996465833E-1,-1.898611022E-2,-4.915466224E-1,-1.828850597E0
2.096295833E-1,-2.293473495E-2,-5.934349398E-1,-4.772134888E-1
2.196115833E-1,-1.745620452E-2,-6.646068102E-1,9.010822445E-1
2.295935833E-1,5.670775920E-3,-6.892203721E-1,2.275305392E0
2.395765833E-1,3.409966433E-2,-6.602827942E-1,3.552738410E0
2.495585833E-1,9.446926061E-3,-6.121917844E-1,4.655508079E0
2.595405833E-1,5.130822100E-3,-5.514210874E-1,5.595922789E0
2.695235833E-1,7.469342910E-3,-4.796245882E-1,6.412872371E0
2.795055833E-1,3.180962060E-2,-4.308152479E-1,7.012417213E0
2.894885833E-1,5.735060574E-2,-4.253276360E-1,7.320298260E0
2.994705833E-1,3.885920651E-2,-4.353646740E-1,7.386743680E0
3.094525833E-1,1.774586096E-2,-5.016022253E-1,7.169174632E0
3.194355833E-1,3.133413233E-3,-5.922864005E-1,6.723230299E0
3.294175833E-1,1.025992658E-2,-7.032218224E-1,6.060926707E0
3.393995833E-1,3.061050285E-2,-8.273412538E-1,5.204414279E0
3.493825833E-1,2.634238260E-2,-9.341836247E-1,4.155657679E0
3.593645833E-1,2.535864338E-3,-1.011871778E0,2.960100299E0
3.693465833E-1,-2.320854910E-2,-1.037183790E0,1.663042272E0
3.793295833E-1,-2.421788815E-2,-1.018830988E0,3.211191434E-1
3.893115833E-1,-1.096401357E-2,-9.462932083E-1,-9.593134958E-1
3.992935833E-1,9.309863672E-5,-8.221863484E-1,-2.196073866E0
4.092765833E-1,-2.209434845E-2,-6.415844218E-1,-3.386237190E0
4.192585833E-1,-3.790742142E-2,-4.416116931E-1,-4.473850876E0
