"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
8.484607083E-1,3.296494818E-2,-3.123537286E-1,-1.022695559E0
8.584427083E-1,8.649084449E-2,-4.005266708E-1,2.144115508E-1
8.684247083E-1,1.893392382E-2,-4.184252903E-1,1.257197558E0
8.784067083E-1,-8.548514167E-2,-4.312444335E-1,2.280369081E0
8.883877083E-1,-4.796915023E-2,-4.242844927E-1,3.425818747E0
8.983697083E-1,6.546581017E-2,-4.152283251E-1,4.539900439E0
9.083517083E-1,1.203947733E-1,-3.995469698E-1,5.368541529E0
9.183337083E-1,4.050908977E-2,-3.566248986E-1,5.885806106E0
9.283157083E-1,-8.000975411E-2,-3.264135048E-1,6.182108497E0
9.382977083E-1,-7.980234241E-2,-3.434572613E-1,6.391736441E0
9.482797083E-1,3.683658153E-2,-4.050231797E-1,6.453847904E0
9.582617083E-1,1.293632875E-1,-4.759086826E-1,6.288354744E0
9.682437083E-1,7.338515114E-2,-5.586795285E-1,5.816776217E0
9.782257083E-1,-2.854718490E-2,-6.432521939E-1,5.012762430E0
9.882067083E-1,-6.983567197E-2,-7.297342676E-1,4.093934471E0
9.981887083E-1,7.979256660E-4,-8.158286709E-1,3.215280976E0
1.008170708E0,9.800792243E-2,-8.805845377E-1,2.267579466E0
1.018152708E0,6.250744795E-2,-8.894285975E-1,1.126624555E0
1.028134708E0,-4.093249214E-2,-8.240232512E-1,-1.643745875E-1
1.038116708E0,-6.830471559E-2,-7.260934988E-1,-1.443995633E0
1.048098708E0,-2.938101612E-2,-6.259995456E-1,-2.468457636E0
1.058080708E0,2.220567852E-2,-4.784804343E-1,-3.262804222E0
1.068062708E0,-2.075932862E-2,-3.105434306E-1,-4.123452385E0
1.078043708E0,-6.212381579E-2,-1.251508802E-1,-5.065992558E0
1.088025708E0,-6.295898548E-2,3.273877971E-2,-5.756693153E0
1.098007708E0,-3.574912732E-2,1.679497214E-1,-6.035053947E0
1.107989708E0,-2.227806979E-2,2.549975131E-1,-6.087958969E0
1.117971708E0,-3.071348693E-2,3.066505737E-1,-6.132638714E0
1.127953708E0,-4.416588362E-2,3.185161091E-1,-6.137601246E0
1.137935708E0,-4.362553694E-2,2.862788013E-1,-5.826385531E0
1.147917708E0,-3.229779001E-2,2.000771016E-1,-5.056186777E0
