103.50,49.70,0.00

-1336.08,49.74,-19.74

1297.86,49.70,-19.70

-1391.09,50.46,-20.46

1360.04,50.27,-20.27

-1391.91,50.07,-20.07

1424.17,48.91,-18.91

-1520.59,49.67,-19.67

1365.11,51.26,-21.26

-1294.73,49.45,-19.45

1210.76,49.96,-19.96

-1311.64,50.68,-20.68

1183.56,51.77,-21.77

-1177.91,50.83,-20.83

1056.79,51.77,-21.77

-1143.12,52.15,-22.15

992.22,53.45,-23.45

-867.82,50.63,-20.63

603.38,53.61,-23.61

-507.68,51.17,-21.17

379.13,52.09,-22.09

-459.40,52.26,-22.26

403.20,52.04,-22.04

-532.57,52.89,-22.89

526.30,51.88,-21.88

-648.24,52.58,-22.58

593.37,52.26,-22.26

-522.74,50.07,-20.07

467.91,49.78,-19.78

-573.57,50.23,-20.23

469.47,50.63,-20.63

-495.98,49.85,-19.85

453.91,49.31,-19.31

-655.31,51.12,-21.12

622.98,50.36,-20.36

-702.79,50.30,-20.30

585.12,50.79,-20.79

-675.61,50.84,-20.84

565.38,51.17,-21.17

-659.16,51.22,-21.22

638.73,50.18,-20.18

-735.45,50.27,-20.27

596.91,50.95,-20.95

-569.02,49.14,-19.14

474.42,49.18,-19.18

-580.04,49.36,-19.36

358.96,51.22,-21.22

-331.45,49.34,-19.34

192.51,49.96,-19.96

-226.07,48.98,-18.98

-21.07,51.17,-21.17

-156.99,52.26,-22.26

181.24,50.30,-20.30

-186.15,48.82,-18.82

104.67,48.49,-18.49

-371.60,50.90,-20.90

325.25,49.96,-19.96

-170.00,46.05,-16.05

78.51,45.89,-15.89

-284.56,47.41,-17.41

354.97,44.78,-14.78

-428.43,44.35,-14.35

391.73,43.37,-13.37

-479.96,43.17,-13.17

342.33,43.69,-13.69

-415.68,43.24,-13.24

325.29,43.04,-13.04

-407.48,42.72,-12.72

328.86,42.34,-12.34

-389.09,41.69,-11.69

303.73,41.41,-11.41

-446.81,41.99,-11.99

442.74,40.49,-10.49

-555.92,40.64,-10.64

351.15,42.12,-12.12

-433.43,41.74,-11.74

466.37,39.66,-9.66

-548.68,39.33,-9.33

470.13,38.95,-8.95

-577.86,39.01,-9.01

473.16,39.01,-9.01

-574.72,38.95,-8.95

575.64,37.38,-7.38

-671.25,37.27,-7.27

608.50,36.67,-6.67

-986.52,40.74,-10.74

1257.58,35.10,-5.10

-1321.01,34.55,-4.55

1221.64,34.55,-4.55

-1217.15,33.02,-3.02

1189.01,32.00,-2.00

-1240.97,31.37,-1.37

1162.01,31.15,-1.15

-1284.71,31.59,-1.59

1118.17,32.65,-2.65

-1094.66,30.88,-0.88

1100.84,29.41,0.59

-1187.25,29.36,0.64

1211.25,27.68,2.32

-1289.10,27.55,2.45

1198.17,27.62,2.38

-1284.21,27.62,2.38

1247.32,26.90,3.10

-1204.17,25.02,4.98

1081.09,25.65,4.35

-1052.04,24.02,5.98

1033.26,23.15,6.85

-1141.77,23.64,6.36

1256.85,20.82,9.18

-1297.28,20.38,9.62

1118.64,22.01,7.99

-1042.79,19.84,10.16

1002.31,19.46,10.54

-1111.23,20.11,9.89

1130.23,18.86,11.14

-1229.35,19.40,10.60

1107.73,20.27,9.73

-1142.29,19.84,10.16

1334.62,16.07,13.93

-1249.09,14.01,15.99

1274.78,12.91,17.09

-1309.56,12.74,17.26

1294.52,12.31,17.69

-1256.17,11.11,18.89

1169.41,11.82,18.18

-1098.46,10.19,19.81

865.13,13.12,16.88

-765.19,11.06,18.94

1011.28,6.91,23.09

-1050.76,7.13,22.87

819.88,10.19,19.81

-571.78,6.10,23.90

589.38,5.56,24.44

-683.16,6.70,23.30

779.61,5.01,24.99

-711.37,3.82,26.18

691.69,3.98,26.02

-658.68,3.38,26.62

632.00,3.71,26.29

-657.76,4.04,25.96

614.53,4.63,25.37

-620.68,4.69,25.31

682.10,3.76,26.24

-760.59,4.96,25.04

809.84,4.25,25.75

-842.17,4.80,25.20

828.65,5.07,24.93

-866.94,5.72,24.28

883.93,5.56,24.44

-946.00,6.59,23.41

1019.25,5.61,24.39

-4611.71,58.85,-28.85

7940.58,8.22,21.78

-8049.64,9.90,20.10

8106.26,9.10,20.90

-8025.96,8.00,22.00

8081.61,7.31,22.69

-8157.99,8.62,21.38

8143.99,8.98,21.02

-8110.90,8.65,21.35

8212.07,7.35,22.65

-8158.38,6.81,23.19

8174.12,6.86,23.14

-8179.16,7.24,22.76

8211.48,7.08,22.92

-8192.16,7.13,22.87

8218.87,7.10,22.90

-8151.51,6.48,23.52

8176.18,6.53,23.47

-8179.61,7.02,22.98

8150.86,7.89,22.11

-8106.51,7.67,22.33

8071.78,8.65,21.35

-11232.37,55.80,-25.80

13586.80,20.06,9.94

-12985.65,11.28,18.72

13110.55,9.81,20.19

-12972.93,8.22,21.78

12961.91,8.89,21.11

-12900.73,8.49,21.51

12918.67,8.76,21.24

-12868.15,8.56,21.44

12904.43,8.60,21.40

-12912.26,9.30,20.70

12972.86,9.00,21.00

-12927.54,8.94,21.06

12996.29,8.56,21.44

-12976.94,8.94,21.06

13011.49,9.10,20.90

-12935.59,8.67,21.33

12995.26,8.51,21.49

-12925.40,8.22,21.78

12950.60,8.62,21.38

-12912.66,8.83,21.17

12989.41,8.49,21.51

-13080.97,10.66,19.34

13062.18,11.71,18.29

-12730.37,7.57,22.43

12861.10,6.53,23.47

-12785.70,6.37,23.63

12877.55,5.99,24.01

-12809.23,5.99,24.01

12665.82,9.14,20.86

-15703.02,54.97,-24.97

18905.12,7.24,22.76

-19065.83,10.63,19.37

19416.50,6.37,23.63

-19624.34,10.52,19.48

19922.68,7.08,22.92

-19903.99,7.89,22.11

19851.33,9.76,20.24

-19679.86,8.27,21.73

19880.10,6.43,23.57

-19770.31,5.99,24.01

19797.88,6.81,23.19

-19730.12,7.02,22.98

19842.92,6.59,23.41

-19691.09,5.61,24.39

19761.81,5.88,24.12

-19878.85,8.94,21.06

20152.66,6.15,23.85

-19987.00,5.07,24.93

20079.15,5.12,24.88

-20067.70,6.39,23.61

20153.99,6.53,23.47

-19935.50,4.74,25.26

20045.15,4.63,25.37

-20018.29,5.77,24.23

20154.58,5.29,24.71

-19982.75,4.31,25.69

20102.95,4.15,25.85

-20024.98,4.63,25.37

20114.52,4.96,25.04

-19991.05,4.80,25.20

20101.66,4.85,25.15

-19952.90,4.36,25.64

