"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.000000000E0,1.182387404E-1,-1.734514543E0,1.087492298E1
9.981999996E-3,1.353387764E-1,-1.716032664E0,1.111495820E1
1.996400000E-2,1.307931510E-1,-1.750764540E0,1.118964352E1
2.994700000E-2,1.299409193E-1,-1.765007188E0,1.118249822E1
3.992900000E-2,1.180296294E-1,-1.701031632E0,1.114601393E1
4.991099999E-2,7.853132218E-2,-1.651054310E0,1.107211448E1
5.989300000E-2,2.229462929E-2,-1.705290159E0,1.081737702E1
6.987599999E-2,-2.858718351E-2,-1.936793121E0,1.025482108E1
7.985800000E-2,-7.085663237E-2,-2.325873283E0,9.428548701E0
8.984000000E-2,-1.080115948E-1,-2.781253853E0,8.472941170E0
9.982300000E-2,-1.690239280E-1,-3.171739100E0,7.518825849E0
1.098050000E-1,-2.097198546E-1,-3.410248196E0,6.604045333E0
1.197870000E-1,-2.144782456E-1,-3.549567465E0,5.731733143E0
1.297700000E-1,-1.900159438E-1,-3.685017046E0,4.820828161E0
1.397520000E-1,-1.482345547E-1,-3.899009936E0,3.819830450E0
1.497340000E-1,-7.161165409E-2,-4.198742888E0,2.661336231E0
1.597170000E-1,3.460740365E-2,-4.424656497E0,1.380909439E0
1.696990000E-1,1.628816107E-1,-4.486210136E0,1.922821784E-1
1.796810000E-1,2.716305759E-1,-4.318959888E0,-7.153659046E-1
1.896630000E-1,2.992960189E-1,-4.091139794E0,-1.402922451E0
1.996460000E-1,2.417014198E-1,-3.886527008E0,-2.133174782E0
2.096280000E-1,1.108698234E-1,-3.726314176E0,-3.134594663E0
2.196100000E-1,-9.784111233E-2,-3.532660533E0,-4.334930388E0
2.295930000E-1,-3.662026744E-1,-3.198480172E0,-5.451520536E0
2.395750000E-1,-5.434702263E-1,-2.739620216E0,-6.283678726E0
2.495570000E-1,-4.106042739E-1,-2.266257118E0,-6.858372316E0
2.595400000E-1,4.199857660E-2,-1.882435796E0,-7.271197436E0
2.695220000E-1,4.592340316E-1,-1.577103404E0,-7.554650570E0
2.795040000E-1,4.450603808E-1,-1.263496471E0,-7.797040463E0
2.894870000E-1,7.708399013E-2,-8.911112800E-1,-8.265746253E0
2.994690000E-1,-1.565374548E-1,-5.219876656E-1,-9.046393982E0
3.094510000E-1,-1.921096855E-1,-1.936950119E-1,-9.782189473E0
3.194330000E-1,-2.131637915E-1,5.024227358E-2,-1.010004996E1
3.294160000E-1,-3.349912788E-2,2.054550782E-1,-9.952599556E0
3.393980000E-1,1.607675133E-1,2.832715783E-1,-9.534514866E0
3.493800000E-1,7.678845906E-2,3.480169201E-1,-9.155811174E0
3.593630000E-1,8.170183782E-2,3.518051849E-1,-9.147871825E0
3.693450000E-1,1.144702373E-1,2.782692853E-1,-9.424767891E0
3.793270000E-1,-1.412062289E-1,1.827430308E-1,-9.577005413E0
3.893090000E-1,-3.183304235E-1,9.104845673E-3,-9.315137275E0
3.992920000E-1,-1.937221283E-1,-2.861162487E-1,-8.596136157E0
4.092740000E-1,2.094781453E-2,-6.141377378E-1,-7.625160974E0
4.192560000E-1,2.768726595E-1,-9.327864325E-1,-6.761373441E0
4.292390000E-1,4.251329968E-1,-1.218529629E0,-6.211439300E0
4.392210000E-1,2.590636669E-1,-1.498337901E0,-5.806744149E0
4.492030000E-1,-1.354849020E-1,-1.807218238E0,-5.251946880E0
4.591860000E-1,-4.323950925E-1,-2.162967808E0,-4.494321978E0
4.691680000E-1,-4.479414867E-1,-2.512669311E0,-3.598751904E0
4.791500000E-1,-2.863562403E-1,-2.764285525E0,-2.546750100E0
4.891320000E-1,-1.304691787E-1,-2.945216212E0,-1.378738952E0
4.991150000E-1,-2.438117165E-2,-3.076428316E0,-2.301697969E-1
5.090970000E-1,8.799113039E-2,-3.226779526E0,7.217779613E-1
5.190790000E-1,1.908191320E-1,-3.352124534E0,1.536006249E0
5.290624583E-1,2.327224355E-1,-3.403821521E0,2.444280569E0
5.390444583E-1,1.951680717E-1,-3.306990461E0,3.566230275E0
5.490264583E-1,1.191460090E-1,-3.115959002E0,4.730792735E0
5.590094583E-1,7.840728812E-2,-2.887301880E0,5.711576037E0
5.689914583E-1,4.973363891E-2,-2.675040350E0,6.495720985E0
5.789734583E-1,7.566954866E-3,-2.529020172E0,7.248085731E0
5.889554583E-1,-5.334433112E-2,-2.376832936E0,8.015750302E0
5.989384583E-1,-9.251694839E-2,-2.189419734E0,8.713199168E0
6.089204583E-1,-9.618680712E-2,-1.931735864E0,9.260648242E0
6.189024583E-1,-8.963050693E-2,-1.654011247E0,9.745443231E0
6.288854583E-1,-1.083414508E-1,-1.461118035E0,1.019627525E1
6.388674583E-1,-1.140020672E-1,-1.364047823E0,1.048127439E1
6.488494583E-1,-8.524597228E-2,-1.370549927E0,1.048182637E1
6.588324583E-1,-4.435917065E-2,-1.445518833E0,1.025335343E1
