"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.000000000E0,-9.541369557E-2,-1.838219005E0,1.060771926E1
9.982000003E-3,-4.140698455E-2,-2.468589783E0,9.614488989E0
1.996400000E-2,1.125910610E-2,-2.997889100E0,8.677329424E0
2.994500000E-2,7.108467378E-2,-3.257593768E0,7.890608193E0
3.992700001E-2,1.435696461E-1,-3.256723117E0,7.206712003E0
4.990900000E-2,2.049720982E-1,-3.233140712E0,6.540886048E0
5.989000000E-2,2.227433580E-1,-3.459183544E0,5.697761990E0
6.987200000E-2,2.173809496E-1,-3.944140500E0,4.494868693E0
7.985400000E-2,2.028937785E-1,-4.441815151E0,2.954615611E0
8.983500000E-2,1.748460371E-1,-4.669046722E0,1.450842723E0
9.981700000E-2,8.376735762E-2,-4.516177116E0,4.257281703E-1
1.097990000E-1,-1.174689910E-1,-4.151280454E0,-1.551552826E-1
1.197800000E-1,-3.228780224E-1,-3.860632321E0,-7.514210057E-1
1.297620000E-1,-4.508787259E-1,-3.800372086E0,-1.828721373E0
1.397440000E-1,-4.419511970E-1,-3.819188133E0,-3.348315657E0
1.497260000E-1,-3.301714372E-1,-3.668850956E0,-4.739571159E0
1.597070000E-1,-1.199099295E-1,-3.252105279E0,-5.519776254E0
1.696890000E-1,1.997036107E-1,-2.750706829E0,-5.747617105E0
1.796710000E-1,4.869416477E-1,-2.322385126E0,-5.848510811E0
1.896520000E-1,4.795913322E-1,-2.028578181E0,-6.270804911E0
1.996340000E-1,7.064995157E-2,-1.743960866E0,-7.232771289E0
2.096160000E-1,-3.901254243E-1,-1.336698203E0,-8.520777826E0
2.195970000E-1,-3.899989418E-1,-8.636338980E-1,-9.578497038E0
2.295790000E-1,-8.976777032E-2,-4.712925982E-1,-9.853033168E0
2.395610000E-1,4.377289591E-3,-1.861465488E-1,-9.371192193E0
2.495420000E-1,1.429317422E-1,-1.750217825E-2,-8.905179046E0
2.595240000E-1,3.168469118E-1,1.024171250E-1,-8.988779027E0
2.695060000E-1,-3.231238064E-2,2.632678150E-1,-9.590354022E0
2.794870000E-1,-1.493771189E-1,3.516582736E-1,-1.030948086E1
2.894690000E-1,2.828483677E-2,3.315434863E-1,-1.057913807E1
2.994510000E-1,-2.587893960E-1,2.587679440E-1,-1.005667532E1
