"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.000000000E0,6.009779211E-2,-2.948425164E0,8.384234816E0
9.981999996E-3,3.417463660E-2,-3.322103759E0,7.418947220E0
1.996300000E-2,2.643401943E-2,-3.561730258E0,6.490877151E0
2.994499999E-2,-1.196340322E-3,-3.712770270E0,5.573403992E0
3.992600000E-2,-3.101600725E-2,-3.855769776E0,4.632400467E0
4.990800000E-2,-7.014016572E-2,-4.073389109E0,3.593179507E0
5.988900000E-2,-1.149159139E-1,-4.307585299E0,2.384948287E0
6.987100000E-2,-1.240289092E-1,-4.477121224E0,1.099935524E0
7.985200000E-2,-1.152033411E-1,-4.472786098E0,-7.077177465E-2
8.983400000E-2,-9.956514560E-2,-4.290873372E0,-1.000203660E0
9.981500000E-2,-9.538847946E-2,-4.052427718E0,-1.761190710E0
1.097970000E-1,-4.745918166E-2,-3.854937717E0,-2.564913890E0
1.197780000E-1,3.460762292E-2,-3.690590319E0,-3.565828571E0
1.297600000E-1,1.188675354E-1,-3.474343035E0,-4.630617651E0
1.397410000E-1,1.202635033E-1,-3.139907735E0,-5.519061724E0
1.497230000E-1,8.727846444E-3,-2.694078592E0,-6.149148327E0
1.597040000E-1,-1.078928415E-1,-2.231424085E0,-6.699632691E0
1.696860000E-1,-1.267305421E-1,-1.829107582E0,-7.320328081E0
1.796670000E-1,-6.429305971E-2,-1.473629176E0,-8.006754361E0
1.896490000E-1,1.151960869E-2,-1.120579265E0,-8.599809963E0
1.996300000E-1,6.380595923E-2,-7.567197526E-1,-8.988703013E0
2.096110000E-1,8.574541586E-2,-4.156978565E-1,-9.161481804E0
2.195930000E-1,1.935433863E-2,-1.517454057E-1,-9.277320993E0
2.295740000E-1,-4.031720974E-2,5.638981685E-2,-9.494759063E0
2.395560000E-1,-1.616236188E-2,2.072966588E-1,-9.801813313E0
2.495370000E-1,-3.742828321E-2,2.965052160E-1,-1.001650728E1
2.595190000E-1,-3.660081997E-2,3.236778849E-1,-9.966394308E0
2.695000000E-1,1.240148759E-3,2.675277308E-1,-9.655381492E0
2.794820000E-1,4.095453797E-3,1.610108306E-1,-9.222948319E0
2.894630000E-1,2.265625217E-2,3.502920717E-3,-8.885141222E0
2.994450000E-1,1.183269968E-2,-1.778972970E-1,-8.675093449E0
3.094260000E-1,-6.809484623E-2,-4.323942885E-1,-8.443345488E0
3.194080000E-1,-1.118006271E-1,-7.481209834E-1,-7.996859702E0
3.293890000E-1,-6.936113387E-2,-1.074601877E0,-7.273385464E0
3.393710000E-1,5.572049338E-3,-1.405559838E0,-6.382686120E0
3.493520000E-1,6.796474569E-2,-1.702299601E0,-5.519417819E0
3.593340000E-1,9.738532187E-2,-2.017037385E0,-4.780659544E0
3.693150000E-1,6.948661147E-2,-2.356597185E0,-4.115136475E0
3.792970000E-1,2.346853092E-3,-2.687615664E0,-3.338218101E0
3.892780000E-1,-6.285965133E-2,-2.939653755E0,-2.371483904E0
3.992590000E-1,-1.067849586E-1,-3.092878287E0,-1.282866835E0
4.092410000E-1,-1.183032060E-1,-3.186773461E0,-1.898590922E-1
4.192220000E-1,-1.023669486E-1,-3.268759611E0,8.090464854E-1
4.292040000E-1,-8.908722751E-2,-3.361156143E0,1.731604384E0
4.391850000E-1,-7.641240086E-2,-3.406549832E0,2.661751383E0
4.491670000E-1,-3.513398197E-2,-3.349814299E0,3.655168179E0
4.591480000E-1,-1.958762426E-2,-3.175740350E0,4.727465669E0
4.691300000E-1,-2.532465644E-3,-2.934063817E0,5.760942324E0
4.791110000E-1,2.048948418E-2,-2.685407463E0,6.702114834E0
4.890930000E-1,4.358097933E-2,-2.482244786E0,7.481559205E0
4.990740000E-1,4.765831590E-2,-2.308152126E0,8.159050355E0
5.090560000E-1,6.435942560E-2,-2.146860191E0,8.750603807E0
5.190370000E-1,6.489408039E-2,-1.934240811E0,9.324644848E0
5.290190000E-1,6.418605566E-2,-1.700653902E0,9.842276630E0
5.390000000E-1,5.234091237E-2,-1.514176254E0,1.023467976E1
5.489820000E-1,4.543732412E-2,-1.379520725E0,1.046124066E1
5.589630000E-1,4.543366961E-2,-1.343411245E0,1.048588200E1
5.689450000E-1,3.681896679E-2,-1.432962522E0,1.034973075E1
5.789260000E-1,1.535603084E-2,-1.574939935E0,1.007495371E1
5.889070000E-1,1.090023324E-2,-1.743610471E0,9.682447084E0
5.988890000E-1,3.899581209E-3,-1.900781289E0,9.211105953E0
6.088700000E-1,-7.602842152E-3,-2.062429320E0,8.679700470E0
6.188520000E-1,-1.738267578E-2,-2.285763722E0,8.023182113E0
6.288330000E-1,-2.089381915E-2,-2.571973819E0,7.233059556E0
6.388150000E-1,-2.864072207E-2,-2.872020766E0,6.313940406E0
6.487960000E-1,-3.387010630E-2,-3.173599100E0,5.335551538E0
6.587780000E-1,-3.275785625E-2,-3.388357390E0,4.351237103E0
6.687590000E-1,-3.078767348E-2,-3.512184461E0,3.400154148E0
6.787410000E-1,-3.465717807E-2,-3.581787962E0,2.476479431E0
6.887220000E-1,-2.786786634E-2,-3.615988911E0,1.525874194E0
6.987040000E-1,-2.402277388E-2,-3.650896204E0,5.186620617E-1
7.086850000E-1,-9.117526822E-3,-3.628271572E0,-5.063244367E-1
7.186670000E-1,-3.312849663E-3,-3.544081607E0,-1.496065089E0
7.286480000E-1,-1.269711915E-2,-3.358650026E0,-2.372643991E0
7.386300000E-1,-1.633697435E-2,-3.102558353E0,-3.150838813E0
7.486110000E-1,-4.598007364E-2,-2.837456120E0,-3.909972880E0
7.585930000E-1,-4.679245289E-2,-2.567562679E0,-4.690901275E0
7.685740000E-1,-3.868969208E-2,-2.277532012E0,-5.481179953E0
7.785560000E-1,-2.987302277E-2,-1.944926306E0,-6.206158095E0
7.885370000E-1,-2.000120513E-2,-1.583614279E0,-6.775519025E0
7.985192500E-1,-6.725321263E-3,-1.225317954E0,-7.213262638E0
8.085002500E-1,1.661616063E-2,-8.943466906E-1,-7.595734277E0
8.184812500E-1,9.763360927E-3,-6.000538418E-1,-7.987917556E0
8.284632500E-1,-1.494484367E-3,-3.445813885E-1,-8.414011762E0
8.384442500E-1,-1.379326195E-2,-9.990596518E-2,-8.758446093E0
8.484262500E-1,-1.918923701E-2,1.010780396E-1,-8.970933909E0
8.584072500E-1,-2.347378428E-2,2.553423527E-1,-9.015863330E0
8.683892500E-1,-5.592249641E-3,3.323395117E-1,-8.977318484E0
8.783702500E-1,1.272574310E-2,3.635477096E-1,-8.921254796E0
8.883522500E-1,1.152144508E-2,3.331079820E-1,-8.870036110E0
8.983332500E-1,6.417437950E-3,2.595564410E-1,-8.746974440E0
9.083152500E-1,4.875463229E-3,1.305829436E-1,-8.502733319E0
9.182962500E-1,-1.239571346E-2,-3.376913220E-2,-8.128612674E0
9.282782500E-1,-2.861627340E-2,-2.450508146E-1,-7.659231530E0
9.382592500E-1,-1.744151339E-2,-4.867292476E-1,-7.156565697E0
9.482412500E-1,8.607905433E-3,-7.686416405E-1,-6.649791609E0
9.582222500E-1,3.486256152E-2,-1.064313994E0,-6.064047366E0
9.682042500E-1,3.508128393E-2,-1.359866187E0,-5.377789485E0
9.781852500E-1,1.034074606E-2,-1.619056007E0,-4.596907284E0
9.881672500E-1,-3.224099893E-2,-1.862714454E0,-3.765061920E0
9.981482500E-1,-6.077939473E-2,-2.095840603E0,-2.955645306E0
1.008130250E0,-8.080968976E-2,-2.317287523E0,-2.163266308E0
1.018111250E0,-7.568931956E-2,-2.534211330E0,-1.316712273E0
1.028093250E0,-5.804030310E-2,-2.672744733E0,-3.901256436E-1
1.038074250E0,-5.176123403E-2,-2.743908856E0,5.943951988E-1
1.048056250E0,-3.386001986E-2,-2.761801921E0,1.579268628E0
1.058037250E0,-1.218355089E-2,-2.750187011E0,2.511347548E0
1.068019250E0,-5.462907404E-3,-2.708281186E0,3.402196580E0
1.078000250E0,1.128183715E-2,-2.639371750E0,4.262305630E0
1.087982250E0,1.989756323E-2,-2.524076352E0,5.104128098E0
1.097963250E0,2.352111932E-2,-2.344532332E0,5.938081384E0
1.107944250E0,2.462474473E-2,-2.144836469E0,6.733688629E0
1.117926250E0,2.962056924E-2,-1.928639179E0,7.447483971E0
1.127907250E0,3.458068918E-2,-1.743116382E0,8.039162554E0
1.137889250E0,2.817904785E-2,-1.582109790E0,8.529259797E0
1.147870250E0,2.192362346E-2,-1.461610370E0,8.922397342E0
1.157852250E0,3.563494217E-2,-1.367538611E0,9.212697566E0
1.167833250E0,3.078376316E-2,-1.281817845E0,9.400349919E0
1.177815250E0,3.183523871E-2,-1.223007719E0,9.486223297E0
1.187796250E0,2.361924291E-2,-1.224789950E0,9.452079651E0
1.197778250E0,1.768077414E-2,-1.286473398E0,9.270234168E0
1.207759250E0,1.175001640E-2,-1.417755668E0,8.959038334E0
1.217741250E0,9.834285825E-4,-1.599301774E0,8.501672049E0
1.227722250E0,-2.955730967E-3,-1.798169087E0,7.948131931E0
1.237704250E0,-1.356195889E-2,-2.010079198E0,7.329012950E0
