"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.000000000E0,-9.497486204E-3,-1.503972278E0,1.100254080E1
9.980999996E-3,4.287565894E-2,-1.559212679E0,1.084756035E1
1.996300000E-2,7.845465057E-2,-1.812249182E0,1.013825333E1
2.994499999E-2,1.014310652E-1,-2.514084629E0,9.080066342E0
3.992700000E-2,1.240334042E-1,-3.287563087E0,7.871376116E0
4.990800000E-2,1.628548231E-1,-3.622648889E0,6.691005124E0
5.989000000E-2,1.875640235E-1,-3.806577736E0,5.969567471E0
6.987200000E-2,1.595771298E-1,-3.617105729E0,5.435448879E0
7.985400000E-2,1.013050212E-1,-3.708098345E0,4.857287890E0
8.983500000E-2,1.843952347E-2,-4.082761611E0,3.755190066E0
9.981699999E-2,-5.708457571E-2,-4.517226107E0,2.127939770E0
1.097990000E-1,-1.542414359E-1,-4.903807753E0,5.115471697E-1
1.197800000E-1,-2.803164320E-1,-4.674364765E0,-7.063816577E-1
1.297616667E-1,-3.874301503E-1,-4.295602892E0,-1.271368285E0
1.397436667E-1,-4.372546038E-1,-3.790996368E0,-1.681632909E0
1.497256667E-1,-3.369270909E-1,-3.712107196E0,-2.419257410E0
1.597076667E-1,-1.022661207E-1,-3.744670632E0,-3.679073351E0
1.696886667E-1,2.118893726E-1,-3.670891635E0,-5.055911958E0
1.796706667E-1,4.777426618E-1,-3.288595705E0,-5.932850465E0
1.896526667E-1,4.668052988E-1,-2.681245415E0,-6.132752150E0
1.996346667E-1,1.593722763E-1,-2.125509375E0,-6.137890098E0
2.096156667E-1,-1.856347896E-1,-1.737365207E0,-6.713668932E0
2.195976667E-1,-2.462717498E-1,-1.415313432E0,-7.977711241E0
2.295796667E-1,-1.064920496E-1,-1.133095230E0,-9.225779541E0
2.395606667E-1,-1.825279629E-2,-7.261383761E-1,-9.691143063E0
2.495426667E-1,7.455123212E-2,-3.884745361E-1,-9.296475887E0
2.595246667E-1,1.032602570E-1,-1.297050572E-1,-8.688932054E0
2.695066667E-1,5.309628127E-3,5.904891126E-2,-8.630548190E0
2.794886667E-1,-7.463318450E-2,2.384134208E-1,-9.357637762E0
2.894696667E-1,-1.289038973E-1,3.934223038E-1,-1.029662517E1
2.994516667E-1,-8.668727439E-2,4.499708726E-1,-1.063817624E1
3.094336667E-1,-8.380029389E-2,3.702056417E-1,-1.000663251E1
3.194146667E-1,-6.739608569E-2,2.361517909E-1,-8.868800594E0
3.293966667E-1,1.183512810E-1,7.924292833E-2,-8.074067507E0
3.393786667E-1,2.057400386E-1,-8.594559163E-2,-7.996944487E0
3.493606667E-1,6.949198360E-2,-2.958017229E-1,-8.302271470E0
3.593416667E-1,-7.423820509E-2,-6.000807390E-1,-8.302888352E0
3.693236667E-1,-1.892064151E-1,-9.335334143E-1,-7.542165595E0
3.793056667E-1,-2.509516602E-1,-1.188756776E0,-6.212142136E0
3.892876667E-1,-1.303134600E-1,-1.442497576E0,-4.960306474E0
3.992686667E-1,1.292323098E-1,-1.777407086E0,-4.229567070E0
4.092506667E-1,3.213057792E-1,-2.194833087E0,-3.858467681E0
4.192326667E-1,2.924286469E-1,-2.626281003E0,-3.250342636E0
4.292146667E-1,1.203955590E-1,-2.872328914E0,-2.136849757E0
4.391956667E-1,-5.159827944E-2,-2.881012030E0,-8.121759152E-1
4.491776667E-1,-1.634560630E-1,-2.863515991E0,3.502698523E-1
4.591596667E-1,-2.372078346E-1,-2.908481664E0,1.189389737E0
4.691416667E-1,-2.695392096E-1,-3.118591418E0,1.901939623E0
4.791226667E-1,-2.695447279E-1,-3.298848798E0,2.730657896E0
4.891046667E-1,-2.064844440E-1,-3.238215510E0,3.749749231E0
4.990866667E-1,-1.234296792E-1,-2.976711654E0,4.947324486E0
5.090686667E-1,-6.167482272E-2,-2.600512324E0,6.175056170E0
5.190496667E-1,1.242036313E-2,-2.326339890E0,7.172008778E0
5.290316667E-1,9.729138270E-2,-2.192822229E0,7.830388888E0
5.390136667E-1,1.803877723E-1,-2.185812002E0,8.278662168E0
5.489956667E-1,2.359828795E-1,-2.130601423E0,8.742852153E0
5.589766667E-1,2.554429979E-1,-1.991138898E0,9.358974436E0
5.689586667E-1,2.401785491E-1,-1.679776418E0,9.957319429E0
5.789406667E-1,2.242132384E-1,-1.382196996E0,1.040423382E1
5.889216667E-1,1.877989720E-1,-1.239474648E0,1.060841157E1
5.989036667E-1,1.296607646E-1,-1.261616884E0,1.053692000E1
6.088856667E-1,4.541466616E-2,-1.495248817E0,1.026196872E1
6.188676667E-1,-3.424063705E-2,-1.723467983E0,9.789375701E0
6.288486667E-1,-1.084648271E-1,-1.922721797E0,9.315850636E0
6.388306667E-1,-1.754366059E-1,-1.976703876E0,8.866831251E0
6.488126667E-1,-2.389828300E-1,-2.039591265E0,8.434546013E0
6.587946667E-1,-2.736771379E-1,-2.248806980E0,7.874258793E0
6.687756667E-1,-2.747604077E-1,-2.536419824E0,6.969252482E0
6.787576667E-1,-2.137107254E-1,-3.046487063E0,5.921686376E0
6.887396667E-1,-1.452040525E-1,-3.346303630E0,4.782280392E0
6.987216667E-1,-5.267471530E-2,-3.614435306E0,3.851624685E0
7.087026667E-1,6.790101103E-2,-3.671381924E0,3.047158324E0
7.186846667E-1,2.007995251E-1,-3.660824776E0,2.270430568E0
7.286666667E-1,3.123527053E-1,-3.724217364E0,1.415316795E0
7.386486667E-1,3.767798124E-1,-3.801873066E0,3.622198069E-1
7.486296667E-1,3.791507853E-1,-3.866875393E0,-7.447633660E-1
7.586116667E-1,2.766892214E-1,-3.753521270E0,-1.808901066E0
7.685936667E-1,6.779492062E-2,-3.456204680E0,-2.650869715E0
7.785756667E-1,-2.263013339E-1,-3.110282817E0,-3.319999931E0
7.885566667E-1,-4.848499525E-1,-2.757581693E0,-4.076323827E0
7.985386667E-1,-5.869311184E-1,-2.538603759E0,-5.005650462E0
8.085206667E-1,-4.112794811E-1,-2.256037355E0,-6.001617229E0
8.185026667E-1,3.245643228E-3,-1.950288495E0,-6.720823585E0
8.284836667E-1,3.988278354E-1,-1.604915393E0,-6.916215897E0
8.384656667E-1,4.897613212E-1,-1.255843489E0,-6.813705436E0
8.484476667E-1,2.243380033E-1,-9.289139678E-1,-6.969201027E0
8.584296667E-1,-1.441805887E-1,-6.250040571E-1,-7.724237366E0
8.684106667E-1,-3.941394648E-1,-3.400079888E-1,-8.819389867E0
8.783926667E-1,-3.926895380E-1,-5.875457704E-2,-9.621843032E0
8.883746667E-1,-1.616587569E-1,1.473802400E-1,-9.626090450E0
8.983556667E-1,8.603997848E-2,2.637939182E-1,-8.940539498E0
9.083376667E-1,2.120100079E-1,3.378224458E-1,-8.234524460E0
9.183196667E-1,2.603067667E-1,3.814954457E-1,-8.098142248E0
9.283016667E-1,1.700829318E-1,4.090758848E-1,-8.598918262E0
9.382826667E-1,-6.655333746E-2,3.973509018E-1,-9.181316729E0
9.482646667E-1,-2.334456264E-1,2.766626166E-1,-9.195854076E0
9.582466667E-1,-2.589423372E-1,6.513388932E-2,-8.446542161E0
9.682286667E-1,-1.273215677E-1,-1.819273442E-1,-7.277434661E0
9.782096667E-1,1.945768999E-1,-4.472365683E-1,-6.369328741E0
9.881916667E-1,4.789895075E-1,-7.502065390E-1,-5.977900338E0
9.981736667E-1,4.137742322E-1,-1.024508196E0,-5.804818661E0
1.008155667E0,3.722882006E-2,-1.286745293E0,-5.380711339E0
1.018136667E0,-3.434506832E-1,-1.522027603E0,-4.618405157E0
1.028118667E0,-5.228927049E-1,-1.696750593E0,-3.657321709E0
1.038100667E0,-4.809797535E-1,-1.891609639E0,-2.709908466E0
1.048082667E0,-3.185544449E-1,-2.130490326E0,-1.832633745E0
1.058063667E0,-1.152814015E-1,-2.387478962E0,-9.818048108E-1
1.068045667E0,7.987976320E-2,-2.592371830E0,-7.094075918E-2
1.078027667E0,2.263913993E-1,-2.633902849E0,9.449977577E-1
1.088009667E0,2.994334285E-1,-2.586355630E0,2.027899173E0
1.097990667E0,3.053489469E-1,-2.533799102E0,3.069756643E0
1.107972667E0,2.657649415E-1,-2.491362934E0,3.941399910E0
1.117954667E0,2.118328921E-1,-2.493511786E0,4.707627820E0
1.127937167E0,1.390944430E-1,-2.448875311E0,5.396535074E0
1.137918167E0,5.946720645E-2,-2.305993919E0,6.175615164E0
1.147900167E0,-4.902086332E-2,-2.088137773E0,7.031610113E0
1.157882167E0,-1.340062691E-1,-1.778095595E0,7.807903420E0
1.167864167E0,-1.806759670E-1,-1.547863818E0,8.398080438E0
1.177845167E0,-2.063592039E-1,-1.433057832E0,8.831128737E0
1.187827167E0,-2.281744346E-1,-1.329376758E0,9.078625004E0
1.197809167E0,-2.208446574E-1,-1.351951103E0,9.299015332E0
1.207791167E0,-1.929979507E-1,-1.314616047E0,9.412446054E0
1.217772167E0,-1.438969074E-1,-1.222727053E0,9.448568398E0
1.227754167E0,-6.557484247E-2,-1.216589815E0,9.446430656E0
1.237736167E0,-1.777845919E-3,-1.259694319E0,9.309582421E0
1.247718167E0,6.968601979E-2,-1.433587005E0,8.958557693E0
1.257699167E0,1.547041699E-1,-1.730290514E0,8.402748270E0
1.267681167E0,2.260464136E-1,-2.069606777E0,7.723780113E0
