"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.000000000E0,-1.219652440E-1,-1.823806204E0,1.027687444E1
9.982000003E-3,-1.197807243E-1,-2.278669295E0,9.480842689E0
1.996400000E-2,-9.412127819E-2,-2.842197043E0,8.430023192E0
2.994600000E-2,-5.043015193E-2,-3.320309833E0,7.342678478E0
3.992800000E-2,-6.922737882E-3,-3.570418051E0,6.436139027E0
4.991000000E-2,3.152314357E-2,-3.668108652E0,5.699903240E0
5.989200000E-2,8.121512108E-2,-3.730014879E0,4.959003130E0
6.987400000E-2,1.318844607E-1,-3.940024645E0,4.004353958E0
7.985600000E-2,1.800431520E-1,-4.276970447E0,2.771491342E0
8.983800000E-2,1.983624787E-1,-4.606028355E0,1.400021063E0
9.982000000E-2,1.895059204E-1,-4.712852308E0,1.537443495E-1
1.098020000E-1,1.266355248E-1,-4.516381184E0,-7.920673406E-1
1.197840000E-1,-9.590895474E-4,-4.182935525E0,-1.466483440E0
1.297660000E-1,-1.696226463E-1,-3.910446505E0,-2.152750676E0
1.397480000E-1,-3.299513992E-1,-3.777692490E0,-3.147135186E0
1.497300000E-1,-3.849358012E-1,-3.646359057E0,-4.427059702E0
1.597120000E-1,-2.797226473E-1,-3.357450762E0,-5.626178622E0
1.696940000E-1,-7.187985856E-2,-2.904780669E0,-6.330909026E0
1.796760000E-1,1.698866664E-1,-2.430240673E0,-6.522359145E0
1.896580000E-1,3.348131397E-1,-2.035712661E0,-6.624421125E0
1.996400000E-1,3.274139999E-1,-1.716840310E0,-7.051171389E0
2.096220000E-1,4.637658795E-2,-1.382728946E0,-7.902891439E0
2.196050000E-1,-2.931564425E-1,-9.591665845E-1,-8.930997427E0
2.295860000E-1,-2.652227036E-1,-5.372116224E-1,-9.694050883E0
2.395680000E-1,-9.673085399E-3,-2.177220981E-1,-9.832960846E0
2.495500000E-1,2.810268687E-2,1.501638070E-2,-9.431703274E0
2.595320000E-1,9.332997632E-2,1.597935864E-1,-9.055126798E0
2.695140000E-1,2.068652804E-1,2.652393499E-1,-9.129033850E0
2.794970000E-1,-1.998475070E-2,3.650777066E-1,-9.532277722E0
2.894790000E-1,-8.499424964E-2,4.153039004E-1,-9.967229290E0
2.994610000E-1,-5.186197059E-3,3.396475080E-1,-9.994503043E0
3.094430000E-1,-2.013707981E-1,2.332669209E-1,-9.412996861E0
3.194250000E-1,-1.763237016E-1,5.008622602E-2,-8.582432038E0
3.294070000E-1,1.622272890E-1,-2.094332314E-1,-7.930348209E0
3.393890000E-1,3.163623603E-1,-4.862695102E-1,-7.509127657E0
3.493710000E-1,2.367800560E-1,-7.612972453E-1,-7.196933119E0
3.593519167E-1,5.412442278E-2,-1.041347008E0,-6.757245891E0
3.693339167E-1,-2.006408097E-1,-1.310907158E0,-6.057180980E0
