"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.000000000E0,-1.464084053E-1,-6.092711367E-1,-6.840261735E0
9.981000003E-3,-1.244677336E-1,-1.441510238E-1,-9.435922040E0
1.996200000E-2,-1.012655433E-1,2.488847608E-1,-1.100915751E1
2.994300000E-2,-1.268266100E-1,4.955999123E-1,-1.141620207E1
3.992300000E-2,-1.145722530E-1,5.322340339E-1,-1.093310979E1
4.990400000E-2,-9.719531477E-2,3.820899979E-1,-9.460808959E0
5.988500000E-2,-1.238914448E-1,1.071600940E-1,-6.881994483E0
6.986600000E-2,-9.301684879E-2,-1.975147786E-1,-3.663387026E0
7.984700000E-2,-4.147931644E-2,-4.363072452E-1,-3.317827106E-1
8.982800000E-2,-1.830483651E-2,-5.683566704E-1,3.277454420E0
9.980800000E-2,1.207852485E-2,-6.021643943E-1,6.526551599E0
1.097890000E-1,1.844114515E-2,-5.620938639E-1,8.916257765E0
1.197700000E-1,2.239461211E-2,-5.576360929E-1,1.055916983E1
1.297510000E-1,4.917210978E-2,-6.271685502E-1,1.127951288E1
1.397320000E-1,3.118988426E-2,-7.770043284E-1,1.069576195E1
1.497130000E-1,8.962118793E-3,-9.929253379E-1,9.102574030E0
1.596930000E-1,3.429679773E-3,-1.196434463E0,6.822303182E0
1.696740000E-1,-2.920592856E-2,-1.299573792E0,3.769125150E0
1.796550000E-1,-6.329056372E-2,-1.230964171E0,1.773290938E-1
1.896360000E-1,-8.694842566E-2,-9.797176471E-1,-3.031897675E0
1.996170000E-1,-1.408330030E-1,-6.059321208E-1,-5.980675426E0
2.095980000E-1,-1.338776212E-1,-1.825463085E-1,-8.603122410E0
2.195780000E-1,-1.204649581E-1,2.022070047E-1,-1.017189821E1
2.295590000E-1,-1.428347881E-1,4.324097836E-1,-1.071898476E1
2.395400000E-1,-1.203087461E-1,5.040752321E-1,-1.049472065E1
2.495210000E-1,-1.152978011E-1,4.111259917E-1,-9.209190406E0
2.595020000E-1,-1.416616082E-1,1.711213973E-1,-6.864318935E0
2.694830000E-1,-9.586514630E-2,-1.044713981E-1,-3.987647878E0
2.794630000E-1,-5.797962454E-2,-3.281677426E-1,-8.216115671E-1
2.894440000E-1,-3.986368050E-2,-4.639904492E-1,2.599921170E0
2.994250000E-1,1.486198680E-2,-5.125197078E-1,5.723420157E0
3.094060000E-1,6.549799726E-3,-4.927265905E-1,8.043952593E0
3.193870000E-1,1.916983156E-2,-4.936324704E-1,9.773703994E0
3.293680000E-1,7.201275938E-2,-5.501776770E-1,1.062203090E1
3.393480000E-1,4.815127729E-2,-6.678897294E-1,1.018052753E1
3.493290000E-1,3.024245717E-2,-8.637346163E-1,8.847635427E0
3.593100000E-1,3.455443610E-2,-1.056534931E0,6.824097108E0
3.692910000E-1,-2.812985815E-3,-1.157252344E0,4.008083312E0
3.792720000E-1,-3.681314698E-2,-1.118913320E0,6.367723095E-1
3.892530000E-1,-5.808299691E-2,-9.104965541E-1,-2.397967113E0
3.992330000E-1,-1.036319754E-1,-5.928605971E-1,-5.230189975E0
4.092140000E-1,-9.963639940E-2,-2.008377878E-1,-7.839308816E0
4.191950000E-1,-1.154409756E-1,1.557500906E-1,-9.417198671E0
4.291760000E-1,-1.366780172E-1,4.005115411E-1,-1.006939652E1
4.391570000E-1,-1.043710909E-1,4.867519786E-1,-1.003464067E1
4.491370000E-1,-1.130958310E-1,4.151793182E-1,-8.897656603E0
4.591180000E-1,-1.523852282E-1,2.194026610E-1,-6.783383530E0
