"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.000000000E0,-2.513836781E-2,3.607364048E-1,-9.713019251E0
9.979999995E-3,-1.453311563E-1,1.652329953E-1,-7.579709398E0
1.996000000E-2,-9.911645402E-2,-9.044853240E-2,-5.364075426E0
2.994000000E-2,-5.957381763E-2,-3.359995032E-1,-2.693883587E0
3.992100000E-2,-6.806244900E-2,-5.172142180E-1,8.596471202E-1
4.990100000E-2,-2.362215738E-3,-5.867523032E-1,4.000990055E0
5.988099999E-2,-8.285034061E-3,-5.355456045E-1,6.251441272E0
6.986100000E-2,2.256957633E-2,-5.000106132E-1,8.502509370E0
7.984200000E-2,9.431202533E-2,-4.966608895E-1,9.984972081E0
8.982199999E-2,3.789759535E-2,-5.071801767E-1,9.879773655E0
9.980200000E-2,4.219374569E-2,-6.287135307E-1,9.074786307E0
1.097820000E-1,8.790573363E-2,-8.166170217E-1,7.828537660E0
1.197630000E-1,2.779139801E-2,-9.360907672E-1,5.323758874E0
1.297430000E-1,-1.400106880E-2,-9.602163059E-1,2.161053137E0
1.397230000E-1,-1.021115258E-2,-8.771287601E-1,-6.380148429E-1
1.497030000E-1,-6.484752193E-2,-6.716712700E-1,-3.453252713E0
1.596840000E-1,-6.451958450E-2,-3.505180666E-1,-6.419697826E0
1.696640000E-1,-7.147700367E-2,-4.081935765E-2,-8.230298678E0
1.796440000E-1,-1.177056023E-1,2.114847635E-1,-9.186061159E0
1.896250000E-1,-5.588884751E-2,3.496868118E-1,-9.818615288E0
1.996050000E-1,-5.290449260E-2,3.217668687E-1,-9.208812675E0
2.095850000E-1,-1.214077120E-1,1.779660383E-1,-7.418268358E0
2.195650000E-1,-7.331044839E-2,-4.035382792E-2,-5.414433401E0
2.295460000E-1,-4.197174336E-2,-2.579833938E-1,-2.772988229E0
2.395260000E-1,-3.928222972E-2,-4.177022821E-1,5.024319452E-1
2.495060000E-1,1.093801630E-2,-5.032584491E-1,3.393432189E0
2.594860000E-1,1.612414484E-2,-4.807576324E-1,5.728051152E0
2.694670000E-1,4.439167751E-2,-4.606929119E-1,7.910406865E0
2.794470000E-1,8.856797649E-2,-4.472557180E-1,9.286619820E0
2.894270000E-1,5.017265060E-2,-4.554188696E-1,9.345116535E0
2.994070000E-1,6.493440790E-2,-5.555020054E-1,8.767065473E0
3.093880000E-1,7.586546693E-2,-7.056216659E-1,7.538009394E0
3.193680000E-1,2.022036837E-2,-8.112043273E-1,5.233886585E0
3.293480000E-1,-6.646874927E-3,-8.385643995E-1,2.434039755E0
3.393280000E-1,-2.239686420E-2,-7.627599994E-1,-2.987506199E-1
3.493090000E-1,-6.534879733E-2,-5.734593528E-1,-3.075340149E0
3.592890000E-1,-7.158697701E-2,-2.931958747E-1,-5.781011723E0
3.692690000E-1,-7.425479656E-2,-1.825875314E-2,-7.598505857E0
3.792490000E-1,-9.894203341E-2,2.177980388E-1,-8.708067652E0
3.892300000E-1,-4.488506374E-2,3.395941156E-1,-9.284317771E0
3.992100000E-1,-5.316111684E-2,3.395899860E-1,-8.755590897E0
4.091900000E-1,-8.681249617E-2,2.091172990E-1,-7.258817126E0
4.191700000E-1,-5.518174555E-2,2.086213455E-3,-5.351496896E0
4.291510000E-1,-3.969179977E-2,-2.066070528E-1,-2.802604961E0
4.391311250E-1,-3.578328329E-2,-3.647239501E-1,1.617521113E-1
4.491111250E-1,2.233969853E-3,-4.585937615E-1,2.927718419E0
4.590911250E-1,1.776304630E-2,-4.644709441E-1,5.306724765E0
4.690721250E-1,2.854967453E-2,-4.535426442E-1,7.333697155E0
4.790521250E-1,5.746816676E-2,-4.390384796E-1,8.653806075E0
4.890321250E-1,5.047042006E-2,-4.645051503E-1,8.916432597E0
4.990121250E-1,4.360504885E-2,-5.535553211E-1,8.424336190E0
5.089931250E-1,5.092542023E-2,-6.858611467E-1,7.211445909E0
5.189731250E-1,2.002134376E-2,-7.808833712E-1,5.139893762E0
5.289531250E-1,6.870316223E-3,-8.099412556E-1,2.593855269E0
5.389331250E-1,-1.762537634E-2,-7.298887803E-1,-1.080881202E-1
5.489141250E-1,-3.236622071E-2,-5.511275206E-1,-2.770494391E0
5.588941250E-1,-4.942124685E-2,-2.852696084E-1,-5.236911934E0
5.688741250E-1,-5.602464910E-2,-2.223970201E-3,-7.120491300E0
5.788541250E-1,-5.586635401E-2,2.193753983E-1,-8.267830201E0
5.888351250E-1,-4.158470336E-2,3.487079879E-1,-8.759505023E0
5.988151250E-1,-4.491692650E-2,3.642664055E-1,-8.343746940E0
6.087951250E-1,-7.075237834E-2,2.490010108E-1,-7.047257847E0
6.187751250E-1,-5.246426121E-2,6.522254772E-2,-5.199606698E0
6.287561250E-1,-3.913618181E-2,-1.217692161E-1,-2.792135521E0
6.387361250E-1,-2.891148242E-2,-2.854025229E-1,-1.017906690E-1
6.487161250E-1,-1.349628279E-2,-3.787891350E-1,2.615206377E0
6.586961250E-1,-3.682201831E-3,-4.069856514E-1,4.959146386E0
6.686771250E-1,-4.721032782E-4,-4.025306578E-1,6.808094448E0
6.786571250E-1,2.491935760E-2,-3.949319087E-1,8.104690545E0
6.886371250E-1,3.089492877E-2,-4.340145519E-1,8.517372993E0
6.986171250E-1,2.800412931E-2,-5.018321671E-1,8.042941024E0
7.085981250E-1,3.114094581E-2,-6.002336437E-1,6.878128304E0
7.185781250E-1,3.421053531E-2,-6.801518523E-1,5.044892296E0
7.285581250E-1,1.460209633E-2,-7.058959003E-1,2.646288421E0
7.385381250E-1,-3.611350022E-3,-6.414199689E-1,1.985714436E-3
7.485191250E-1,-1.639683979E-2,-4.942369994E-1,-2.489933875E0
7.584991250E-1,-4.469249848E-2,-2.758248933E-1,-4.806617088E0
7.684791250E-1,-5.494891673E-2,-3.490184750E-2,-6.713536200E0
7.784601250E-1,-7.968379011E-2,1.615445352E-1,-7.814940544E0
7.884401250E-1,-7.173104692E-2,2.728705328E-1,-8.271592884E0
7.984201250E-1,-6.060967930E-2,2.890859033E-1,-7.987971350E0
8.084001250E-1,-8.219737108E-2,2.056733255E-1,-6.793675799E0
8.183811250E-1,-7.464894458E-2,4.775223680E-2,-4.993745531E0
8.283611250E-1,-4.939757019E-2,-1.226248831E-1,-2.792786316E0
8.383411250E-1,-3.136337754E-2,-2.614395368E-1,-2.602367646E-1
8.483211250E-1,-9.673238432E-3,-3.522103970E-1,2.383980573E0
8.583021250E-1,1.200845876E-2,-3.730704850E-1,4.617601165E0
8.682821250E-1,6.394821103E-3,-3.607102020E-1,6.350688402E0
8.782621250E-1,3.819195241E-2,-3.668353066E-1,7.656539472E0
8.882421250E-1,4.794127089E-2,-3.860194364E-1,8.110914322E0
8.982231250E-1,3.029946295E-2,-4.642604443E-1,7.639824037E0
9.082031250E-1,3.438498105E-2,-5.592600109E-1,6.567783825E0
9.181831250E-1,3.272822731E-2,-6.326201286E-1,4.912413685E0
9.281631250E-1,3.133764979E-3,-6.616730428E-1,2.607946474E0
9.381441250E-1,-2.374495347E-2,-6.005604299E-1,8.617918789E-2
9.481241250E-1,-3.284850636E-2,-4.571303130E-1,-2.226735495E0
9.581041250E-1,-4.418863751E-2,-2.337466484E-1,-4.480095118E0
9.680851250E-1,-3.861194238E-2,1.302032400E-2,-6.351160857E0
9.780651250E-1,-5.592170612E-2,2.039540979E-1,-7.375909958E0
9.880451250E-1,-5.031621802E-2,3.172707618E-1,-7.845603928E0
9.980251250E-1,-2.791031348E-2,3.352183883E-1,-7.638748734E0
1.008006125E0,-5.877736291E-2,2.437340216E-1,-6.502459316E0
1.017986125E0,-6.307099620E-2,9.514121532E-2,-4.791777440E0
1.027966125E0,-3.676975425E-2,-7.707660802E-2,-2.761431207E0
1.037946125E0,-3.314291139E-2,-2.226170947E-1,-3.297893947E-1
1.047927125E0,-6.182124065E-3,-3.186688676E-1,2.220557327E0
1.057907125E0,2.564492854E-3,-3.456661932E-1,4.311601751E0
1.067887125E0,2.342700656E-3,-3.451222560E-1,5.983038286E0
1.077867125E0,3.123076452E-2,-3.597269927E-1,7.274525671E0
1.087848125E0,3.415590267E-2,-3.791527587E-1,7.708704822E0
1.097828125E0,1.528626168E-2,-4.344890535E-1,7.246529787E0
1.107808125E0,3.236169825E-2,-5.265163341E-1,6.306279384E0
1.117788125E0,2.213018549E-2,-6.093175124E-1,4.739579930E0
1.127769125E0,4.047963442E-4,-6.141607612E-1,2.522292951E0
1.137749125E0,-6.754315230E-3,-5.583349083E-1,1.487046343E-1
1.147729125E0,-2.942291964E-2,-4.295557942E-1,-2.043804184E0
1.157710125E0,-4.739446943E-2,-2.249892735E-1,-4.231791936E0
1.167690125E0,-4.412350958E-2,-8.136619851E-3,-6.010934182E0
1.177670125E0,-5.873237589E-2,1.727648486E-1,-6.987424459E0
1.187650125E0,-6.031420304E-2,2.921205534E-1,-7.477918729E0
1.197631125E0,-4.382617867E-2,3.044852766E-1,-7.310988323E0
1.207611125E0,-6.976997759E-2,2.281892354E-1,-6.198833288E0
1.217591125E0,-6.253942491E-2,9.750707187E-2,-4.598889490E0
1.227571125E0,-5.535970647E-2,-5.542992331E-2,-2.702815794E0
1.237552125E0,-5.603190330E-2,-1.933624515E-1,-3.473854208E-1
1.247532125E0,-3.147572403E-2,-2.814833535E-1,2.082389376E0
1.257512125E0,-3.818076504E-3,-3.161384851E-1,4.033281888E0
1.267492125E0,8.980843588E-3,-3.204702486E-1,5.656910418E0
1.277473125E0,5.081901918E-2,-3.187559912E-1,6.932674055E0
1.287453125E0,7.434460614E-2,-3.372413787E-1,7.315224046E0
1.297433125E0,6.396820576E-2,-3.814974922E-1,6.898913401E0
1.307414125E0,7.916905241E-2,-4.595478809E-1,6.040911103E0
1.317394125E0,6.207421039E-2,-5.320360326E-1,4.525512781E0
1.327374125E0,2.585988681E-2,-5.521558631E-1,2.411583524E0
1.337354125E0,-1.655442682E-3,-5.058441610E-1,2.110458934E-1
1.347335125E0,-4.263884214E-2,-3.850355328E-1,-1.897822013E0
1.357315125E0,-6.680050566E-2,-2.123681682E-1,-4.034596342E0
1.367295125E0,-8.600927146E-2,-2.131105453E-2,-5.684800467E0
1.377275125E0,-1.101231157E-1,1.451404457E-1,-6.610615264E0
1.387256125E0,-9.165357046E-2,2.649443944E-1,-7.137654632E0
1.397236125E0,-6.769472309E-2,2.867865589E-1,-6.968316343E0
1.407216125E0,-8.108976225E-2,2.268338142E-1,-5.893792818E0
1.417197125E0,-7.261771779E-2,1.106350212E-1,-4.425404356E0
1.427177125E0,-4.689961683E-2,-2.823298842E-2,-2.608798413E0
1.437157125E0,-4.215721887E-2,-1.557967222E-1,-3.397127044E-1
1.447135500E0,-5.595755687E-3,-2.399662220E-1,1.940673918E0
1.457116500E0,2.448926291E-2,-2.669837205E-1,3.789076434E0
