"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.000000000E0,-7.909198794E-2,4.186891093E-1,-9.027354863E0
9.980999996E-3,-7.239975826E-2,1.676220580E-1,-6.615677783E0
1.996200000E-2,-5.248384939E-2,-1.190793508E-1,-3.516956373E0
2.994300000E-2,-9.862599140E-3,-3.581887364E-1,-1.150889915E-1
3.992400000E-2,3.647145946E-3,-4.939656155E-1,3.251342509E0
4.990500000E-2,2.276071633E-2,-5.395269737E-1,6.362766995E0
5.988600000E-2,3.453551944E-2,-5.408228628E-1,8.749905065E0
6.986700000E-2,4.085320755E-2,-5.586355282E-1,1.029285254E1
7.984800000E-2,5.842332314E-2,-6.273442590E-1,1.085003021E1
8.982900000E-2,6.335997200E-2,-7.855424327E-1,1.032480056E1
9.981000000E-2,6.373213814E-2,-1.004129772E0,8.780112950E0
1.097910000E-1,4.938318056E-2,-1.195033762E0,6.430311692E0
1.197720000E-1,2.901395716E-2,-1.268087413E0,3.460186341E0
1.297530000E-1,1.060694056E-3,-1.183686509E0,5.761553943E-2
1.397340000E-1,-9.345623050E-3,-9.222603480E-1,-3.116216864E0
1.497150000E-1,-6.435853025E-2,-5.492591159E-1,-5.980989422E0
1.596960000E-1,-7.507776932E-2,-1.385989829E-1,-8.362034692E0
1.696770000E-1,-5.432073391E-2,2.211687028E-1,-9.962930417E0
1.796580000E-1,-6.935783568E-2,4.551358278E-1,-1.046278082E1
1.896390000E-1,-7.056678863E-2,5.209265421E-1,-1.007359716E1
1.996200000E-1,-6.702438550E-2,4.171203745E-1,-8.791213889E0
2.096010000E-1,-9.004543997E-2,1.956954905E-1,-6.501366472E0
2.195820000E-1,-7.249837521E-2,-7.665034600E-2,-3.569224049E0
2.295630000E-1,-1.988999383E-2,-2.800981481E-1,-4.962093383E-1
2.395440000E-1,-2.060303894E-2,-4.179477189E-1,2.706667355E0
2.495250000E-1,1.885759939E-2,-4.650201438E-1,5.806444187E0
2.595060000E-1,3.384084282E-2,-4.582828358E-1,8.015866662E0
2.694870000E-1,4.326432520E-2,-4.620348479E-1,9.521183800E0
2.794680000E-1,8.061655805E-2,-5.385095581E-1,1.026593079E1
2.894490000E-1,8.490597496E-2,-6.830248086E-1,9.853302140E0
2.994300000E-1,5.948036268E-2,-8.771204279E-1,8.378703935E0
3.094104167E-1,5.975899165E-2,-1.061463768E0,6.316759933E0
3.193914167E-1,4.125907284E-2,-1.161077592E0,3.626274163E0
3.293724167E-1,-3.701547892E-3,-1.094330895E0,3.115215236E-1
