"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.000000000E0,-4.443251666E-2,3.708669618E-1,-1.016159775E1
9.981000003E-3,-9.156885892E-2,3.874387384E-1,-9.770685076E0
1.996200001E-2,-2.649356967E-2,2.546553231E-1,-8.882509975E0
2.994300000E-2,-5.883670758E-2,1.637647960E-2,-6.784870477E0
3.992400000E-2,-7.531396943E-2,-2.615377700E-1,-3.810798841E0
4.990600000E-2,-1.358138261E-2,-4.656558093E-1,-1.008794973E0
5.988700000E-2,-1.845272081E-2,-5.761980059E-1,2.031464220E0
6.986800001E-2,1.734436281E-2,-6.157122467E-1,5.334005535E0
7.984900000E-2,2.659029541E-2,-5.521419029E-1,7.537929288E0
8.983000000E-2,-3.693475993E-3,-4.674768515E-1,8.963302708E0
9.981100000E-2,6.425522639E-2,-4.898212552E-1,9.985514703E0
1.097920000E-1,7.789815095E-2,-5.631283826E-1,9.812932963E0
1.197740000E-1,3.173612384E-2,-6.656474684E-1,8.332686932E0
1.297550000E-1,7.368351902E-2,-8.158260396E-1,6.460166990E0
1.397360000E-1,6.555382904E-2,-9.169691294E-1,4.066347892E0
1.497170000E-1,-5.505409352E-3,-8.690784598E-1,7.529658401E-1
1.596980000E-1,8.037217185E-3,-7.009788305E-1,-2.318366627E0
1.696790000E-1,-5.340809318E-2,-4.498049578E-1,-4.721468180E0
1.796600000E-1,-6.985565300E-2,-1.404925306E-1,-7.235314828E0
1.896410000E-1,-2.578211884E-2,1.543691976E-1,-9.034628799E0
1.996230000E-1,-8.628312215E-2,3.347504649E-1,-9.468612653E0
2.096040000E-1,-8.913679180E-2,3.818548302E-1,-9.347579382E0
2.195850000E-1,-3.688438708E-2,2.867166846E-1,-8.567705825E0
2.295660000E-1,-8.843426711E-2,8.581651434E-2,-6.466606529E0
2.395470000E-1,-7.442974251E-2,-1.560023249E-1,-3.815690621E0
2.495280000E-1,-2.094989760E-2,-3.406747907E-1,-1.255758559E0
2.595090000E-1,-2.074673883E-2,-4.655830114E-1,1.802389607E0
2.694910000E-1,2.551183586E-2,-5.194205917E-1,4.891840841E0
2.794720000E-1,3.243647409E-2,-4.752678278E-1,6.888260944E0
2.894530000E-1,2.348488485E-2,-4.336328749E-1,8.407344182E0
2.994340000E-1,8.629851677E-2,-4.633782457E-1,9.499337432E0
3.094150000E-1,6.896249995E-2,-5.120462295E-1,9.238566817E0
3.193960000E-1,3.186764051E-2,-6.095318860E-1,7.930256408E0
3.293770000E-1,6.800102126E-2,-7.551920213E-1,6.350281436E0
3.393580000E-1,4.853439782E-2,-8.260012181E-1,4.005423414E0
3.493400000E-1,6.879555280E-3,-7.941581587E-1,8.323388690E-1
3.593210000E-1,9.189876979E-3,-6.434448597E-1,-1.939493365E0
3.693020000E-1,-5.979872530E-2,-4.324758571E-1,-4.308630196E0
3.792830000E-1,-6.150009147E-2,-1.479613618E-1,-6.806766545E0
3.892640000E-1,-4.556416302E-2,1.040866513E-1,-8.417484423E0
3.992450000E-1,-9.225168580E-2,2.760666574E-1,-8.919032269E0
4.092260000E-1,-7.373836408E-2,3.287738065E-1,-8.963899124E0
4.192070000E-1,-3.714869494E-2,2.534807454E-1,-8.159530411E0
4.291890000E-1,-8.177783336E-2,7.334111430E-2,-6.163854074E0
4.391700000E-1,-5.190476490E-2,-1.418723821E-1,-3.816460699E0
4.491510000E-1,-6.944628395E-3,-3.096134309E-1,-1.328861033E0
4.591320000E-1,-5.530200633E-3,-4.209178852E-1,1.649542220E0
4.691130000E-1,3.406896645E-2,-4.646165398E-1,4.452948834E0
4.790940000E-1,2.926877242E-2,-4.350030237E-1,6.386946986E0
4.890750000E-1,2.375203866E-2,-4.092504242E-1,7.962322538E0
4.990570000E-1,5.911511270E-2,-4.302314034E-1,8.969553967E0
5.090380000E-1,3.576808509E-2,-4.665013897E-1,8.704286258E0
5.190190000E-1,2.371306788E-2,-5.702849360E-1,7.619069930E0
5.290000000E-1,5.400109221E-2,-6.939049421E-1,6.137691877E0
5.389810000E-1,2.668173581E-2,-7.620755828E-1,3.834087131E0
5.489620000E-1,3.112778957E-3,-7.178721674E-1,9.215673798E-1
5.589430000E-1,-1.761482852E-3,-5.890599434E-1,-1.660019261E0
5.689240000E-1,-5.473333720E-2,-3.821580083E-1,-4.047546170E0
5.789060000E-1,-5.585338050E-2,-1.055095164E-1,-6.409029581E0
5.888870000E-1,-4.783693920E-2,1.365489856E-1,-7.859365350E0
5.988680000E-1,-7.554096930E-2,3.013872208E-1,-8.470396462E0
6.088490000E-1,-5.039381697E-2,3.449266666E-1,-8.566080884E0
6.188308333E-1,-4.783997701E-2,2.774626984E-1,-7.716866366E0
6.288118333E-1,-7.714608025E-2,1.192752325E-1,-5.917568182E0
6.387928333E-1,-4.746411982E-2,-7.637910828E-2,-3.771933568E0
6.487738333E-1,-2.311786244E-2,-2.576454978E-1,-1.295101549E0
6.587548333E-1,-1.824809111E-2,-3.727064958E-1,1.501238120E0
6.687368333E-1,2.750870112E-2,-4.229068887E-1,4.077301481E0
6.787178333E-1,2.715915183E-2,-4.013033272E-1,6.026885387E0
6.886988333E-1,3.763203583E-2,-3.719239922E-1,7.568017305E0
6.986798333E-1,6.504696680E-2,-3.894875662E-1,8.450448101E0
7.086608333E-1,5.730412495E-2,-4.283050382E-1,8.259127205E0
7.186418333E-1,4.714425885E-2,-5.191412410E-1,7.315101255E0
7.286228333E-1,5.406336963E-2,-6.258806279E-1,5.849652187E0
7.386038333E-1,2.439710075E-2,-6.845569984E-1,3.663530282E0
7.485858333E-1,-3.097612741E-3,-6.555221374E-1,1.013262246E0
7.585668333E-1,-1.415481174E-2,-5.430293462E-1,-1.497722774E0
7.685478333E-1,-4.661926111E-2,-3.474804746E-1,-3.847233426E0
7.785288333E-1,-6.181683240E-2,-1.050980917E-1,-6.006968016E0
7.885098333E-1,-7.504517566E-2,1.013439600E-1,-7.394746179E0
7.984908333E-1,-8.039353246E-2,2.564150609E-1,-8.105821981E0
8.084718333E-1,-6.414400139E-2,3.099600977E-1,-8.139014286E0
8.184528333E-1,-5.206419289E-2,2.627971872E-1,-7.294200382E0
