"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.000000000E0,-1.494922634E-1,3.756263395E-1,-1.360640767E1
9.980999996E-3,-1.195857653E-1,5.305307400E-1,-1.377555476E1
1.996200000E-2,-6.146461075E-2,3.931124379E-1,-1.276745151E1
2.994399999E-2,-1.689795988E-1,4.599438105E-2,-1.014475543E1
3.992500000E-2,-1.545567835E-1,-3.791648917E-1,-6.722499982E0
4.990600000E-2,-7.118005648E-2,-7.685886502E-1,-2.810470635E0
5.988700000E-2,-4.842954994E-2,-9.917116021E-1,1.579565082E0
6.986900000E-2,1.679257295E-2,-1.037929895E0,5.833655959E0
7.984999999E-2,1.952940792E-2,-9.283488344E-1,9.182385600E0
8.983100000E-2,4.599518504E-2,-7.885001005E-1,1.196529305E1
9.981200000E-2,1.086604804E-1,-7.412930435E-1,1.348666839E1
1.097930000E-1,8.079271456E-2,-8.227109899E-1,1.353183462E1
1.197750000E-1,8.516982143E-2,-1.050511787E0,1.230745339E1
1.297560000E-1,1.140221488E-1,-1.372845397E0,1.014974428E1
1.397370000E-1,7.636676517E-2,-1.624555021E0,6.779685166E0
1.497180000E-1,4.657935386E-2,-1.690982315E0,2.631732947E0
1.597000000E-1,3.604691962E-2,-1.530604884E0,-1.423357301E0
1.696810000E-1,-4.273647237E-2,-1.136045223E0,-5.115552388E0
1.796620000E-1,-8.693480347E-2,-5.981916498E-1,-8.728827022E0
1.896430000E-1,-5.836379117E-2,-7.064931203E-2,-1.132184322E1
1.996250000E-1,-9.849802874E-2,3.543824183E-1,-1.265422252E1
2.096060000E-1,-1.129054402E-1,5.555748032E-1,-1.300215641E1
2.195870000E-1,-8.702204576E-2,5.003992338E-1,-1.225747841E1
2.295680000E-1,-1.410444072E-1,2.301188165E-1,-1.014367721E1
2.395490000E-1,-1.646431940E-1,-1.490703046E-1,-7.114057024E0
2.495310000E-1,-1.090496035E-1,-5.243979610E-1,-3.456297943E0
2.595120000E-1,-6.116235081E-2,-7.640884137E-1,6.053505421E-1
2.694930000E-1,-2.174193950E-2,-8.598074801E-1,4.578919494E0
2.794740000E-1,6.247631153E-3,-8.110222596E-1,7.982948007E0
2.894560000E-1,3.533569263E-2,-7.070327452E-1,1.073287306E1
2.994370000E-1,8.942649392E-2,-6.409628628E-1,1.239160886E1
3.094180000E-1,1.018979562E-1,-7.023415241E-1,1.273997194E1
3.193990000E-1,1.114135323E-1,-8.838759354E-1,1.189725952E1
3.293800000E-1,1.292357359E-1,-1.160577582E0,1.000457663E1
3.393620000E-1,1.124766748E-1,-1.400839089E0,7.048982191E0
3.493430000E-1,7.845218377E-2,-1.511845262E0,3.359149963E0
3.593240000E-1,6.045296021E-2,-1.404148174E0,-5.331988245E-1
3.693050000E-1,-2.533150865E-3,-1.113056968E0,-4.119125445E0
3.792870000E-1,-7.315070520E-2,-6.665252817E-1,-7.522110815E0
3.892680000E-1,-7.428247034E-2,-1.841538543E-1,-1.015181887E1
3.992486250E-1,-8.627321843E-2,2.156076353E-1,-1.175604692E1
4.092296250E-1,-1.283276359E-1,4.514917699E-1,-1.222045150E1
4.192116250E-1,-1.262149730E-1,4.553263008E-1,-1.167953611E1
4.291926250E-1,-1.376842773E-1,2.568157049E-1,-9.996874673E0
4.391736250E-1,-1.570372455E-1,-6.567439131E-2,-7.286754538E0
4.491546250E-1,-1.232081611E-1,-3.953136588E-1,-3.870366765E0
4.591356250E-1,-5.942252093E-2,-6.335511515E-1,-1.634179831E-1
4.691176250E-1,-1.868413808E-2,-7.495443419E-1,3.565307584E0
4.790986250E-1,9.387321007E-3,-7.256640208E-1,6.986683032E0
4.890796250E-1,4.811936885E-2,-6.399593344E-1,9.642419384E0
4.990606250E-1,7.281590642E-2,-5.777809203E-1,1.134367672E1
5.090426250E-1,9.498437290E-2,-6.173333873E-1,1.196711504E1
5.190236250E-1,1.172565178E-1,-7.661970659E-1,1.140580222E1
5.290046250E-1,1.136572094E-1,-1.002996436E0,9.728782759E0
5.389856250E-1,1.144505943E-1,-1.218323441E0,7.151050018E0
5.489676250E-1,8.191593728E-2,-1.334400832E0,3.871813366E0
5.589486250E-1,5.367633420E-2,-1.259826174E0,1.276476413E-1
5.689296250E-1,2.723786540E-2,-1.001405189E0,-3.331545258E0
5.789106250E-1,-5.657893773E-2,-5.970035686E-1,-6.487470564E0
5.888916250E-1,-6.824699261E-2,-1.578912496E-1,-9.154827672E0
5.988736250E-1,-6.514980928E-2,2.244172331E-1,-1.089522919E1
6.088546250E-1,-1.070914715E-1,4.579434415E-1,-1.145506501E1
6.188356250E-1,-1.209048698E-1,4.921247658E-1,-1.110309771E1
6.288166250E-1,-1.251880557E-1,3.274563922E-1,-9.752766284E0
6.387986250E-1,-1.605846964E-1,5.088641748E-2,-7.297154980E0
6.487796250E-1,-1.433514353E-1,-2.573509444E-1,-4.135280133E0
6.587606250E-1,-7.650151609E-2,-5.042874129E-1,-7.460123312E-1
6.687416250E-1,-4.943084450E-2,-6.414728862E-1,2.753817548E0
6.787226250E-1,-8.685636856E-3,-6.618491171E-1,6.145619532E0
6.887046250E-1,3.295794980E-2,-5.959634221E-1,8.675645426E0
6.986856250E-1,5.741123406E-2,-5.398093942E-1,1.040562662E1
7.086666250E-1,1.073134738E-1,-5.732222848E-1,1.124169543E1
7.186476250E-1,1.159191043E-1,-7.036631410E-1,1.087190816E1
7.286296250E-1,1.163062722E-1,-8.907953842E-1,9.367609604E0
7.386106250E-1,1.233025023E-1,-1.091265638E0,7.127716119E0
7.485916250E-1,1.026556183E-1,-1.206736160E0,4.182018682E0
7.585726250E-1,6.515603108E-2,-1.146868785E0,6.134173608E-1
7.685536250E-1,4.438765755E-2,-9.493544450E-1,-2.708939583E0
7.785356250E-1,-3.397135450E-2,-6.125679065E-1,-5.629945983E0
7.885166250E-1,-7.089058276E-2,-2.137704767E-1,-8.311558018E0
7.984976250E-1,-6.810021379E-2,1.416772952E-1,-1.010652166E1
8.084786250E-1,-1.106725347E-1,3.764633319E-1,-1.070971575E1
8.184606250E-1,-1.289837849E-1,4.413218904E-1,-1.052668971E1
8.284416250E-1,-1.261571678E-1,3.246075922E-1,-9.435311590E0
8.384226250E-1,-1.662803778E-1,1.005793817E-1,-7.184865051E0
8.484036250E-1,-1.526047728E-1,-1.749781477E-1,-4.284616851E0
8.583846250E-1,-8.871733630E-2,-3.961237174E-1,-1.177979481E0
8.683666250E-1,-6.493978917E-2,-5.325785811E-1,2.165546722E0
8.783476250E-1,-9.327281979E-3,-5.615328236E-1,5.452109935E0
8.883286250E-1,2.609655286E-2,-5.124023250E-1,7.846498552E0
8.983096250E-1,4.446987488E-2,-4.663230497E-1,9.582522261E0
9.082916250E-1,1.020825729E-1,-5.081423360E-1,1.056620169E1
9.182726250E-1,1.148239665E-1,-5.964452326E-1,1.032361007E1
9.282536250E-1,1.111197736E-1,-7.568274875E-1,8.962997484E0
9.382346250E-1,1.272539958E-1,-9.468562952E-1,7.009418176E0
9.482156250E-1,1.142948391E-1,-1.059446771E0,4.338088469E0
